,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
0,00601,17599.0,38.9,11757.0,7041.0,11282.0
1,00602,39209.0,40.9,16190.0,8978.0,20428.0
2,00603,50135.0,40.4,16645.0,10897.0,25176.0
3,00606,6304.0,42.8,13387.0,5960.0,4092.0
4,00610,27590.0,41.4,18741.0,9266.0,12553.0
5,00612,62566.0,41.4,17744.0,10283.0,29872.0
6,00616,10687.0,43.7,14918.0,9002.0,5364.0
7,00617,24508.0,38.7,17157.0,8762.0,11774.0
8,00622,7405.0,48.4,16727.0,11935.0,4013.0
9,00623,42321.0,41.3,16401.0,9101.0,22008.0
10,00624,23238.0,37.2,16832.0,8072.0,13092.0
11,00627,32936.0,40.1,17579.0,9738.0,15927.0
12,00631,1555.0,48.2,9632.0,7690.0,922.0
13,00637,23610.0,40.9,15736.0,9158.0,11506.0
14,00638,17202.0,40.3,14448.0,8108.0,9961.0
15,00641,28332.0,41.9,16292.0,8305.0,14903.0
16,00646,38008.0,39.4,29160.0,15397.0,12709.0
17,00647,5610.0,47.1,13071.0,7058.0,3551.0
18,00650,14664.0,38.6,16095.0,7698.0,8200.0
19,00652,3681.0,38.8,20564.0,11439.0,1597.0
20,00653,11717.0,38.7,12236.0,7279.0,7737.0
21,00656,19546.0,40.3,14966.0,8327.0,10869.0
22,00659,40978.0,40.7,17770.0,10360.0,18522.0
23,00660,16474.0,45.1,19674.0,11588.0,6476.0
24,00662,41341.0,40.6,16771.0,8883.0,21976.0
25,00664,15396.0,36.3,15401.0,7134.0,9164.0
26,00667,24089.0,43.6,13843.0,7256.0,14529.0
27,00669,26510.0,40.9,12996.0,8236.0,14802.0
28,00670,8797.0,40.1,14456.0,7293.0,4982.0
29,00674,40826.0,41.1,18032.0,10520.0,18834.0
30,00676,37862.0,38.6,13416.0,7893.0,21724.0
31,00677,14569.0,44.6,18333.0,10236.0,7047.0
32,00678,26642.0,39.3,15730.0,9103.0,13864.0
33,00680,48035.0,41.6,14500.0,10277.0,23993.0
34,00682,32820.0,37.3,15315.0,11236.0,17330.0
35,00683,31627.0,42.9,15043.0,9547.0,16122.0
36,00685,38849.0,42.6,14128.0,8080.0,21573.0
37,00687,31785.0,37.0,18739.0,8816.0,15639.0
38,00688,12360.0,40.7,15918.0,8636.0,6151.0
39,00690,5587.0,41.9,18491.0,10644.0,2752.0
40,00692,36218.0,37.6,18076.0,10586.0,17824.0
41,00693,56327.0,40.0,18971.0,10209.0,24547.0
42,00694,88.0,73.1,14375.0,7647.0,42.0
43,00698,37493.0,42.0,14487.0,8139.0,18728.0
44,00703,27137.0,40.2,16532.0,10235.0,13350.0
45,00704,7842.0,36.0,13960.0,7585.0,4461.0
46,00705,23831.0,40.6,18207.0,10172.0,11827.0
47,00707,11240.0,43.5,17489.0,8761.0,5945.0
48,00714,18363.0,38.8,15820.0,7685.0,10346.0
49,00715,3645.0,41.3,12440.0,7579.0,2439.0
50,00716,29191.0,42.2,18514.0,13034.0,14157.0
51,00717,17285.0,36.9,11269.0,9711.0,10048.0
52,00718,26073.0,36.9,18998.0,10107.0,12777.0
53,00719,29684.0,39.0,18401.0,9006.0,13849.0
54,00720,21753.0,37.5,14533.0,7326.0,12103.0
55,00723,17826.0,43.3,14554.0,8723.0,10182.0
56,00725,82822.0,40.4,20374.0,12575.0,34629.0
57,00727,56023.0,38.8,30797.0,15666.0,17736.0
58,00728,40326.0,37.7,18097.0,9181.0,18782.0
59,00729,52244.0,38.9,20508.0,11066.0,21939.0
60,00730,32735.0,41.3,15367.0,10834.0,17834.0
61,00731,13862.0,39.8,16389.0,9432.0,7621.0
62,00735,12749.0,40.7,18947.0,11580.0,5579.0
63,00736,48476.0,41.3,20166.0,12391.0,21635.0
64,00738,31558.0,40.7,19284.0,11081.0,13443.0
65,00739,37380.0,38.5,20619.0,11107.0,15775.0
66,00740,1517.0,36.5,12934.0,7125.0,928.0
67,00741,5168.0,41.0,22766.0,9385.0,2178.0
68,00745,52624.0,40.1,22909.0,10927.0,19531.0
69,00751,22174.0,39.5,16188.0,8951.0,11879.0
70,00754,38636.0,40.1,18594.0,10482.0,17606.0
71,00757,22475.0,37.2,16816.0,10478.0,11045.0
72,00765,8721.0,41.3,16149.0,11211.0,3226.0
73,00766,23931.0,37.8,19595.0,10406.0,11955.0
74,00767,35042.0,41.6,15573.0,8668.0,18314.0
75,00769,39605.0,39.4,19215.0,10328.0,19083.0
76,00771,37705.0,38.0,20332.0,10254.0,17258.0
77,00772,20784.0,37.2,15032.0,7516.0,12014.0
78,00773,18952.0,39.8,19377.0,10434.0,8649.0
79,00775,1480.0,39.1,23092.0,11291.0,615.0
80,00777,40611.0,37.7,18684.0,9220.0,20541.0
81,00778,46852.0,38.3,32708.0,16622.0,14361.0
82,00780,11679.0,38.0,21834.0,14409.0,4591.0
83,00782,18196.0,37.7,13073.0,6996.0,10576.0
84,00783,34240.0,37.9,14476.0,7823.0,19045.0
85,00784,41417.0,37.6,15653.0,9317.0,21515.0
86,00786,249.0,65.8,-666666666.0,13990.0,51.0
87,00791,49551.0,41.3,18595.0,11926.0,22625.0
88,00794,29296.0,35.4,15667.0,7702.0,17589.0
89,00795,45573.0,37.8,20430.0,10164.0,21540.0
90,00901,6540.0,41.3,16929.0,27466.0,2754.0
91,00906,91.0,41.2,101346.0,70076.0,14.0
92,00907,16819.0,48.6,32601.0,38603.0,4426.0
93,00909,5430.0,38.7,17959.0,15141.0,2598.0
94,00911,7617.0,47.8,30978.0,28595.0,2230.0
95,00912,5920.0,42.4,21744.0,15777.0,2455.0
96,00913,8495.0,26.2,5902.0,7158.0,6933.0
97,00915,27534.0,38.9,14048.0,9136.0,16416.0
98,00917,18316.0,45.9,15508.0,13829.0,9395.0
99,00918,16595.0,42.3,23333.0,20852.0,6819.0
100,00920,16698.0,45.0,25433.0,14906.0,5291.0
101,00921,35161.0,38.7,18690.0,12707.0,16019.0
102,00923,24754.0,39.3,14041.0,10907.0,14208.0
103,00924,51699.0,38.2,19303.0,12558.0,23609.0
104,00925,6796.0,34.6,9903.0,10804.0,4145.0
105,00926,99106.0,43.0,33624.0,22687.0,29413.0
106,00927,13503.0,45.9,32932.0,25107.0,3605.0
107,00934,25.0,-666666666.0,-666666666.0,,0.0
108,00936,749.0,72.1,-666666666.0,8875.0,0.0
109,00949,76058.0,39.0,26032.0,12924.0,25943.0
110,00950,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
111,00951,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
112,00952,8467.0,42.3,15434.0,8998.0,3983.0
113,00953,72608.0,37.1,29837.0,14360.0,21593.0
114,00956,68452.0,40.4,23322.0,12226.0,25233.0
115,00957,40738.0,40.2,24438.0,13000.0,15055.0
116,00959,47849.0,40.2,29737.0,15979.0,14152.0
117,00960,2454.0,33.2,-666666666.0,3972.0,19.0
118,00961,31017.0,42.3,28455.0,16714.0,9469.0
119,00962,19864.0,37.1,16135.0,9871.0,10780.0
120,00965,7659.0,41.7,15369.0,11228.0,4083.0
121,00966,16169.0,45.3,51318.0,36677.0,2938.0
122,00968,3368.0,58.1,45811.0,43889.0,498.0
123,00969,43216.0,40.4,51604.0,27897.0,7746.0
124,00971,27449.0,43.6,20604.0,14718.0,10330.0
125,00976,60134.0,39.4,30801.0,16208.0,18527.0
126,00979,15203.0,48.4,34284.0,29494.0,2727.0
127,00982,14514.0,44.3,25935.0,14037.0,5287.0
128,00983,36687.0,41.1,27149.0,13585.0,11804.0
129,00985,32750.0,41.5,24834.0,13531.0,10466.0
130,00987,58583.0,38.7,32967.0,16557.0,14378.0
131,01001,17537.0,45.8,57694.0,33135.0,1557.0
132,01002,30280.0,23.6,52379.0,27657.0,7851.0
133,01003,11131.0,19.9,2499.0,4370.0,57.0
134,01005,5014.0,45.4,70325.0,35334.0,307.0
135,01007,14906.0,43.8,86165.0,39308.0,855.0
136,01008,1272.0,49.9,62750.0,33933.0,89.0
137,01009,384.0,66.2,59440.0,26043.0,171.0
138,01010,3724.0,48.1,86523.0,39077.0,156.0
139,01011,1507.0,39.9,75263.0,30903.0,102.0
140,01012,531.0,43.2,70114.0,37778.0,60.0
141,01013,23026.0,35.0,39868.0,21738.0,4151.0
142,01020,30148.0,44.2,58780.0,30076.0,3173.0
143,01022,2604.0,37.6,43349.0,25748.0,615.0
144,01026,958.0,49.5,51442.0,30925.0,45.0
145,01027,17870.0,44.9,63699.0,34386.0,1773.0
146,01028,16156.0,45.9,85221.0,38320.0,708.0
147,01029,728.0,47.3,50750.0,31970.0,102.0
148,01030,11211.0,45.1,71716.0,33551.0,1057.0
149,01031,1151.0,38.6,41875.0,27940.0,199.0
150,01032,551.0,49.8,78011.0,37424.0,12.0
151,01033,6300.0,45.8,89965.0,40222.0,324.0
152,01034,2313.0,46.9,87045.0,36015.0,186.0
153,01035,5301.0,47.4,58953.0,41575.0,280.0
154,01036,5193.0,49.4,81304.0,39634.0,206.0
155,01037,772.0,46.1,92750.0,31356.0,93.0
156,01038,2897.0,51.4,67096.0,39453.0,112.0
157,01039,1129.0,54.6,80000.0,49565.0,85.0
158,01040,40362.0,35.2,37954.0,22625.0,11228.0
159,01050,2334.0,43.7,68869.0,31233.0,165.0
160,01053,1658.0,53.2,62222.0,31413.0,309.0
161,01054,1997.0,50.9,87174.0,46486.0,120.0
162,01056,21331.0,44.4,67715.0,33247.0,1195.0
163,01057,8801.0,46.3,78986.0,35989.0,501.0
164,01060,15729.0,34.3,57485.0,36152.0,1962.0
165,01062,10587.0,45.2,73438.0,38373.0,1485.0
166,01063,574.0,20.5,-666666666.0,3532.0,0.0
167,01066,9.0,-666666666.0,-666666666.0,,0.0
168,01068,1849.0,46.7,85938.0,35289.0,70.0
169,01069,8919.0,47.1,59211.0,32833.0,632.0
170,01070,637.0,50.2,57000.0,30342.0,51.0
171,01071,1206.0,47.9,67132.0,32683.0,54.0
172,01072,1490.0,45.6,72000.0,36574.0,182.0
173,01073,6090.0,46.4,89423.0,44641.0,278.0
174,01074,477.0,33.7,61603.0,18494.0,0.0
175,01075,17755.0,40.3,66681.0,32046.0,1602.0
176,01077,9711.0,46.6,76737.0,38002.0,697.0
177,01079,480.0,46.3,27105.0,31721.0,55.0
178,01080,2532.0,32.7,49844.0,23355.0,846.0
179,01081,1827.0,43.7,50465.0,26913.0,94.0
180,01082,10637.0,41.8,51768.0,27830.0,1429.0
181,01083,3182.0,36.9,65547.0,24012.0,290.0
182,01084,183.0,53.6,90625.0,43879.0,0.0
183,01085,41652.0,39.1,62423.0,29630.0,3252.0
184,01086,683.0,19.0,-666666666.0,2892.0,0.0
185,01088,399.0,53.3,51406.0,32106.0,32.0
186,01089,28671.0,39.2,51735.0,29344.0,3453.0
187,01092,1133.0,47.0,75799.0,33033.0,172.0
188,01093,348.0,52.6,103750.0,54538.0,21.0
189,01094,327.0,54.6,21250.0,32228.0,29.0
190,01095,14659.0,47.2,104128.0,45406.0,573.0
191,01096,2607.0,44.3,77083.0,36844.0,214.0
192,01097,54.0,17.1,-666666666.0,9161.0,40.0
193,01098,1186.0,50.4,76563.0,43006.0,87.0
194,01103,2409.0,33.6,16720.0,21340.0,1337.0
195,01104,23635.0,36.0,30053.0,19687.0,6815.0
196,01105,11601.0,32.3,17569.0,15259.0,6021.0
