State,City,Population,MedianAge,HouseholdIncome,PerCapitaIncome,PovertyCount
AK,Adak,130,29.7,76250.0,21055.0,52
AK,Akiachak,609,25.9,34444.0,11095.0,209
AK,Akiak,397,25.4,41250.0,10510.0,139
AK,Akutan,801,45.2,26750.0,26978.0,152
AK,Alakanuk,735,20.7,33750.0,9521.0,323
AK,Aleknagik,190,33.7,42083.0,23108.0,25
AK,Allakaket,186,28.5,27250.0,15277.0,53
AK,Ambler,299,26.9,44500.0,15937.0,83
AK,Anaktuvuk Pass,290,25.0,56667.0,16682.0,97
AK,Anchor Point,2615,46.6,50913.0,29619.0,271
AK,Anchorage,244563,34.95,84122.6,40430.3,21282
AK,Anderson,113,50.6,97500.0,54752.0,3
AK,Angoon,540,42.7,36000.0,34954.0,113
AK,Aniak,668,28.7,48214.0,22308.0,195
AK,Anvik,91,32.8,35625.0,19271.0,15
AK,Arctic Village,167,30.1,35208.0,17255.0,62
AK,Atka,51,30.6,55000.0,26500.0,4
AK,Atqasuk,172,24.5,61250.0,20597.0,33
AK,Barrow,4444,28.8,82964.0,31860.0,481
AK,Beaver,54,48.5,20000.0,16602.0,19
AK,Bethel,7901,28.1,78404.0,26474.0,1318
AK,Big Lake,3494,40.2,63750.0,29006.0,542
AK,Brevig Mission,421,22.0,33750.0,8425.0,246
AK,Buckland,627,22.9,41932.0,13288.0,141
AK,Cantwell,220,50.3,58594.0,33227.0,15
AK,Chalkyitsik,119,34.4,28750.0,19081.0,41
AK,Chefornak,459,22.0,53750.0,10535.0,84
AK,Chevak,1271,26.8,40855.0,13690.0,408
AK,Chignik Lagoon,63,39.2,86250.0,40833.0,9
AK,Chignik Lake,57,47.5,30000.0,14637.0,7
AK,Chugiak,9011,36.2,103199.0,43738.0,729
AK,Circle,108,26.0,16806.0,9841.0,66
AK,Clam Gulch,281,55.9,42235.0,36675.0,35
AK,Cooper Landing,581,39.7,66801.0,34781.0,51
AK,Copper Center,640,30.5,61000.0,19982.0,52
AK,Cordova,3218,49.1,92396.0,43770.0,132
AK,Craig,1971,41.1,58047.0,33002.0,286
AK,Crooked Creek,90,27.0,31250.0,15116.0,44
AK,Deering,152,27.3,44375.0,16069.0,20
AK,Delta Junction,4913,35.3,75114.0,34146.0,463
AK,Denali National Park,834,35.3,51250.0,26397.0,247
AK,Dillingham,2427,31.6,75563.0,33093.0,230
AK,Douglas,2255,35.5,75577.0,41057.0,333
AK,Dutch Harbor,246,29.6,86000.0,32382.0,12
AK,Eagle,99,57.3,35750.0,25379.0,9
AK,Eagle River,28210,32.1,106166.0,39251.0,987
AK,Eek,497,22.8,33750.0,10668.0,129
AK,Egegik,69,51.6,35000.0,40920.0,11
AK,Eielson AFB,3025,23.8,57464.0,26631.0,115
AK,Ekwok,88,28.3,28750.0,11545.0,34
AK,Elim,296,25.6,39375.0,13460.0,73
AK,Elmendorf AFB,7255,23.1,57613.0,22859.0,293
AK,Emmonak,763,25.5,42813.0,13271.0,209
AK,Fairbanks,63293,34.50000000000001,76317.66666666667,38277.333333333336,5260
AK,False Pass,68,41.3,78750.0,40635.0,2
AK,Fort Richardson,6477,21.5,62431.0,21673.0,162
AK,Fort Wainwright,8415,22.9,54526.0,22746.0,448
AK,Fort Yukon,560,30.0,28281.0,19512.0,149
AK,Gakona,188,30.9,30625.0,23966.0,65
AK,Galena,473,35.8,74375.0,32579.0,49
AK,Gambell,693,29.2,34792.0,16588.0,296
AK,Girdwood,2233,32.3,108362.0,50279.0,51
AK,Glennallen,618,24.8,54375.0,20495.0,74
AK,Goodnews Bay,210,26.5,22083.0,11714.0,88
AK,Grayling,165,25.4,25000.0,11699.0,72
AK,Gustavus,386,53.3,61875.0,39582.0,14
AK,Haines,2599,45.5,70091.0,35619.0,214
AK,Healy,1106,39.4,90750.0,35982.0,81
AK,Holy Cross,202,33.5,33125.0,14149.0,35
AK,Homer,10332,39.5,62196.0,32333.0,1051
AK,Hoonah,828,46.1,60625.0,28857.0,98
AK,Hooper Bay,1153,20.3,30972.0,8832.0,542
AK,Houston,1633,36.5,53450.0,24230.0,167
AK,Hughes,77,31.8,34375.0,15397.0,22
AK,Huslia,404,28.3,42500.0,14104.0,96
AK,Hydaburg,306,45.0,31250.0,16408.0,92
AK,Iliamna,328,27.8,44375.0,18070.0,66
AK,Indian,289,48.4,103000.0,52158.0,6
AK,Juneau,30179,38.2,91743.0,41968.0,2006
AK,Kake,635,37.2,51250.0,18955.0,97
AK,Kaktovik,181,27.8,60417.0,21945.0,19
AK,Kalskag,255,25.5,38929.0,12116.0,46
AK,Kaltag,165,45.3,27500.0,19696.0,31
AK,Kasigluk,655,24.5,43500.0,8469.0,250
AK,Kasilof,2055,46.4,67802.0,30526.0,219
AK,Kenai,16208,38.2,60518.0,32560.0,1723
AK,Ketchikan,13768,39.5,67321.0,33755.0,1450
AK,Kiana,329,25.8,43125.0,17247.0,106
AK,King Cove,1003,45.9,66923.0,31439.0,159
AK,King Salmon,414,36.8,95167.0,37960.0,28
AK,Kipnuk,659,26.0,34318.0,9968.0,258
AK,Kivalina,678,23.8,48750.0,16907.0,211
AK,Klawock,901,45.1,48646.0,24783.0,210
AK,Kobuk,152,18.3,52500.0,13451.0,60
AK,Kodiak,13041,33.0,80067.0,32992.0,1098
AK,Kotlik,726,24.6,41667.0,10794.0,321
AK,Kotzebue,3355,30.1,88047.0,31846.0,520
AK,Koyuk,248,22.3,36429.0,11061.0,102
AK,Koyukuk,54,33.0,15417.0,17041.0,23
AK,Kwethluk,705,23.6,44375.0,12518.0,185
