Zipcode,Population,MedianAge,HouseholdIncome,PerCapitaIncome,PovertyCount,City,State,Latitude,Longitude,Timezone,DaylightSavingsTimeFlag,geopoint
602,39209,40.9,16190,8978,20428,Aguada,PR,18.363285,-67.18024,-4,0,18.363285
603,50135,40.4,16645,10897,25176,Aguadilla,PR,18.448619,-67.13422,-4,0,18.448619
606,6304,42.8,13387,5960,4092,Maricao,PR,18.182151,-66.9588,-4,0,18.182151
610,27590,41.4,18741,9266,12553,Anasco,PR,18.288319,-67.13604,-4,0,18.288319
612,62566,41.4,17744,10283,29872,Arecibo,PR,18.449732,-66.69879,-4,0,18.449732
616,10687,43.7,14918,9002,5364,Bajadero,PR,18.426748,-66.67669,-4,0,18.426748
617,24508,38.7,17157,8762,11774,Barceloneta,PR,18.455499,-66.55575,-4,0,18.455499
622,7405,48.4,16727,11935,4013,Boqueron,PR,18.003125,-67.16745,-4,0,18.003125
623,42321,41.3,16401,9101,22008,Cabo Rojo,PR,18.08643,-67.15222,-4,0,18.08643
624,23238,37.2,16832,8072,13092,Penuelas,PR,18.055399,-66.72602,-4,0,18.055399
627,32936,40.1,17579,9738,15927,Camuy,PR,18.435246,-66.85644,-4,0,18.435246
631,1555,48.2,9632,7690,922,Castaner,PR,18.186739,-66.85174,-4,0,18.186739
637,23610,40.9,15736,9158,11506,Sabana Grande,PR,18.073078,-66.94864,-4,0,18.073078
638,17202,40.3,14448,8108,9961,Ciales,PR,18.308139,-66.49835,-4,0,18.308139
641,28332,41.9,16292,8305,14903,Utuado,PR,18.268896,-66.70519,-4,0,18.268896
646,38008,39.4,29160,15397,12709,Dorado,PR,18.442798,-66.27689,-4,0,18.442798
647,5610,47.1,13071,7058,3551,Ensenada,PR,17.964529,-66.93993,-4,0,17.964529
650,14664,38.6,16095,7698,8200,Florida,PR,18.363331,-66.56773,-4,0,18.363331
652,3681,38.8,20564,11439,1597,Garrochales,PR,18.457453,-66.61217,-4,0,18.457453
653,11717,38.7,12236,7279,7737,Guanica,PR,17.992112,-66.90097,-4,0,17.992112
656,19546,40.3,14966,8327,10869,Guayanilla,PR,18.038866,-66.79168,-4,0,18.038866
659,40978,40.7,17770,10360,18522,Hatillo,PR,18.432956,-66.80039,-4,0,18.432956
660,16474,45.1,19674,11588,6476,Hormigueros,PR,18.139108,-67.12085,-4,0,18.139108
662,41341,40.6,16771,8883,21976,Isabela,PR,18.478855,-67.01973,-4,0,18.478855
664,15396,36.3,15401,7134,9164,Jayuya,PR,18.212565,-66.59243,-4,0,18.212565
667,24089,43.6,13843,7256,14529,Lajas,PR,18.017819,-67.04226,-4,0,18.017819
669,26510,40.9,12996,8236,14802,Lares,PR,18.288418,-66.87503,-4,0,18.288418
670,8797,40.1,14456,7293,4982,Las Marias,PR,18.241343,-66.97604,-4,0,18.241343
674,40826,41.1,18032,10520,18834,Manati,PR,18.426137,-66.48697,-4,0,18.426137
676,37862,38.6,13416,7893,21724,Moca,PR,18.37956,-67.08424,-4,0,18.37956
677,14569,44.6,18333,10236,7047,Rincon,PR,18.336121,-67.23675,-4,0,18.336121
678,26642,39.3,15730,9103,13864,Quebradillas,PR,18.442334,-66.93275,-4,0,18.442334
680,48035,41.6,14500,10277,23993,Mayaguez,PR,18.205232,-67.12655,-4,0,18.205232
682,32820,37.3,15315,11236,17330,Mayaguez,PR,18.208402,-67.15428,-4,0,18.208402
683,31627,42.9,15043,9547,16122,San German,PR,18.092807,-67.04524,-4,0,18.092807
685,38849,42.6,14128,8080,21573,San Sebastian,PR,18.332595,-66.98104,-4,0,18.332595
687,31785,37,18739,8816,15639,Morovis,PR,18.31708,-66.41528,-4,0,18.31708
688,12360,40.7,15918,8636,6151,Sabana Hoyos,PR,18.40415,-66.61348,-4,0,18.40415
690,5587,41.9,18491,10644,2752,San Antonio,PR,18.495369,-67.09867,-4,0,18.495369
692,36218,37.6,18076,10586,17824,Vega Alta,PR,18.419666,-66.33186,-4,0,18.419666
693,56327,40,18971,10209,24547,Vega Baja,PR,18.440667,-66.3921,-4,0,18.440667
694,88,73.1,14375,7647,42,Vega Baja,PR,18.443109,-66.398302,-4,0,18.443109
698,37493,42,14487,8139,18728,Yauco,PR,18.06547,-66.85587,-4,0,18.06547
703,27137,40.2,16532,10235,13350,Aguas Buenas,PR,18.246205,-66.12827,-4,0,18.246205
704,7842,36,13960,7585,4461,Aguirre,PR,17.970112,-66.22291,-4,0,17.970112
705,23831,40.6,18207,10172,11827,Aibonito,PR,18.12942,-66.26541,-4,0,18.12942
707,11240,43.5,17489,8761,5945,Maunabo,PR,18.014505,-65.91018,-4,0,18.014505
714,18363,38.8,15820,7685,10346,Arroyo,PR,17.987288,-66.05552,-4,0,17.987288
715,3645,41.3,12440,7579,2439,Mercedita,PR,18.003492,-66.55868,-4,0,18.003492
716,29191,42.2,18514,13034,14157,Ponce,PR,17.999066,-66.59965,-4,0,17.999066
717,17285,36.9,11269,9711,10048,Ponce,PR,18.004303,-66.61374,-4,0,18.004303
718,26073,36.9,18998,10107,12777,Naguabo,PR,18.22048,-65.74293,-4,0,18.22048
719,29684,39,18401,9006,13849,Naranjito,PR,18.294571,-66.25098,-4,0,18.294571
720,21753,37.5,14533,7326,12103,Orocovis,PR,18.217827,-66.42265,-4,0,18.217827
723,17826,43.3,14554,8723,10182,Patillas,PR,18.023196,-66.0131,-4,0,18.023196
725,82822,40.4,20374,12575,34629,Caguas,PR,18.233927,-66.04502,-4,0,18.233927
728,40326,37.7,18097,9181,18782,Ponce,PR,18.013353,-66.65218,-4,0,18.013353
729,52244,38.9,20508,11066,21939,Canovanas,PR,18.35615,-65.89089,-4,0,18.35615
730,32735,41.3,15367,10834,17834,Ponce,PR,18.022626,-66.61727,-4,0,18.022626
731,13862,39.8,16389,9432,7621,Ponce,PR,18.077329,-66.61192,-4,0,18.077329
735,12749,40.7,18947,11580,5579,Ceiba,PR,18.258444,-65.65987,-4,0,18.258444
736,48476,41.3,20166,12391,21635,Cayey,PR,18.112895,-66.15377,-4,0,18.112895
738,31558,40.7,19284,11081,13443,Fajardo,PR,18.32265,-65.66116,-4,0,18.32265
739,37380,38.5,20619,11107,15775,Cidra,PR,18.16984,-66.16271,-4,0,18.16984
740,1517,36.5,12934,7125,928,Puerto Real,PR,18.331711,-65.62761,-4,0,18.331711
741,5168,41,22766,9385,2178,Punta Santiago,PR,18.160755,-65.75765,-4,0,18.160755
745,52624,40.1,22909,10927,19531,Rio Grande,PR,18.366213,-65.82277,-4,0,18.366213
751,22174,39.5,16188,8951,11879,Salinas,PR,17.993803,-66.26534,-4,0,17.993803
754,38636,40.1,18594,10482,17606,San Lorenzo,PR,18.15633,-65.96831,-4,0,18.15633
757,22475,37.2,16816,10478,11045,Santa Isabel,PR,17.98631,-66.39457,-4,0,17.98631
765,8721,41.3,16149,11211,3226,Vieques,PR,18.125664,-65.45603,-4,0,18.125664
766,23931,37.8,19595,10406,11955,Villalba,PR,18.126023,-66.48208,-4,0,18.126023
767,35042,41.6,15573,8668,18314,Yabucoa,PR,18.072752,-65.89703,-4,0,18.072752
769,39605,39.4,19215,10328,19083,Coamo,PR,18.092813,-66.3611,-4,0,18.092813
771,37705,38,20332,10254,17258,Las Piedras,PR,18.18744,-65.87088,-4,0,18.18744
772,20784,37.2,15032,7516,12014,Loiza,PR,18.427674,-65.87605,-4,0,18.427674
773,18952,39.8,19377,10434,8649,Luquillo,PR,18.361344,-65.72133,-4,0,18.361344
775,1480,39.1,23092,11291,615,Culebra,PR,18.311149,-65.29257,-4,0,18.311149
777,40611,37.7,18684,9220,20541,Juncos,PR,18.224088,-65.91316,-4,0,18.224088
778,46852,38.3,32708,16622,14361,Gurabo,PR,18.258628,-65.97791,-4,0,18.258628
780,11679,38,21834,14409,4591,Coto Laurel,PR,18.068538,-66.55939,-4,0,18.068538
782,18196,37.7,13073,6996,10576,Comerio,PR,18.223348,-66.2267,-4,0,18.223348
783,34240,37.9,14476,7823,19045,Corozal,PR,18.304874,-66.32305,-4,0,18.304874
784,41417,37.6,15653,9317,21515,Guayama,PR,17.984137,-66.12779,-4,0,17.984137
791,49551,41.3,18595,11926,22625,Humacao,PR,18.147257,-65.82269,-4,0,18.147257
794,29296,35.4,15667,7702,17589,Barranquitas,PR,18.204294,-66.31058,-4,0,18.204294
795,45573,37.8,20430,10164,21540,Juana Diaz,PR,18.036253,-66.50289,-4,0,18.036253
901,6540,41.3,16929,27466,2754,San Juan,PR,18.465426,-66.10786,-4,0,18.465426
906,91,41.2,101346,70076,14,San Juan,PR,18.46454,-66.10079,-4,0,18.46454
