State,City,Population,Median_Age,Household_Income,Per_Capita_Income,Poverty_Count
AK,Adak,130,30,76250,21055,52
AK,Akiachak,609,26,34444,11095,209
AK,Akiak,397,25,41250,10510,139
AK,Akutan,801,45,26750,26978,152
AK,Alakanuk,735,21,33750,9521,323
AK,Aleknagik,190,34,42083,23108,25
AK,Allakaket,186,29,27250,15277,53
AK,Ambler,299,27,44500,15937,83
AK,Anaktuvuk Pass,290,25,56667,16682,97
AK,Anchor Point,2615,47,50913,29619,271
AK,Anchorage,244563,35,84122.6,40430,21282
AK,Anderson,113,51,97500,54752,3
AK,Angoon,540,43,36000,34954,113
AK,Aniak,668,29,48214,22308,195
AK,Anvik,91,33,35625,19271,15
AK,Arctic Village,167,30,35208,17255,62
AK,Atka,51,31,55000,26500,4
AK,Atqasuk,172,25,61250,20597,33
AK,Barrow,4444,29,82964,31860,481
AK,Beaver,54,49,20000,16602,19
AK,Bethel,7901,28,78404,26474,1318
AK,Big Lake,3494,40,63750,29006,542
AK,Brevig Mission,421,22,33750,8425,246
AK,Buckland,627,23,41932,13288,141
AK,Cantwell,220,50,58594,33227,15
AK,Chalkyitsik,119,34,28750,19081,41
AK,Chefornak,459,22,53750,10535,84
AK,Chevak,1271,27,40855,13690,408
AK,Chignik Lagoon,63,39,86250,40833,9
AK,Chignik Lake,57,48,30000,14637,7
AK,Chugiak,9011,36,103199,43738,729
AK,Circle,108,26,16806,9841,66
AK,Clam Gulch,281,56,42235,36675,35
AK,Cooper Landing,581,40,66801,34781,51
AK,Copper Center,640,31,61000,19982,52
AK,Cordova,3218,49,92396,43770,132
AK,Craig,1971,41,58047,33002,286
AK,Crooked Creek,90,27,31250,15116,44
AK,Deering,152,27,44375,16069,20
AK,Delta Junction,4913,35,75114,34146,463
AK,Denali National Park,834,35,51250,26397,247
AK,Dillingham,2427,32,75563,33093,230
AK,Douglas,2255,36,75577,41057,333
AK,Dutch Harbor,246,30,86000,32382,12
AK,Eagle,99,57,35750,25379,9
AK,Eagle River,28210,32,106166,39251,987
AK,Eek,497,23,33750,10668,129
AK,Egegik,69,52,35000,40920,11
AK,Eielson AFB,3025,24,57464,26631,115
AK,Ekwok,88,28,28750,11545,34
AK,Elim,296,26,39375,13460,73
AK,Elmendorf AFB,7255,23,57613,22859,293
AK,Emmonak,763,26,42813,13271,209
AK,Fairbanks,63293,35,76317.66667,38277,5260
AK,False Pass,68,41,78750,40635,2
AK,Fort Richardson,6477,22,62431,21673,162
AK,Fort Wainwright,8415,23,54526,22746,448
AK,Fort Yukon,560,30,28281,19512,149
AK,Gakona,188,31,30625,23966,65
AK,Galena,473,36,74375,32579,49
AK,Gambell,693,29,34792,16588,296
AK,Girdwood,2233,32,108362,50279,51
AK,Glennallen,618,25,54375,20495,74
AK,Goodnews Bay,210,27,22083,11714,88
AK,Grayling,165,25,25000,11699,72
AK,Gustavus,386,53,61875,39582,14
AK,Haines,2599,46,70091,35619,214
AK,Healy,1106,39,90750,35982,81
AK,Holy Cross,202,34,33125,14149,35
AK,Homer,10332,40,62196,32333,1051
AK,Hoonah,828,46,60625,28857,98
AK,Hooper Bay,1153,20,30972,8832,542
AK,Houston,1633,37,53450,24230,167
AK,Hughes,77,32,34375,15397,22
AK,Huslia,404,28,42500,14104,96
AK,Hydaburg,306,45,31250,16408,92
AK,Iliamna,328,28,44375,18070,66
AK,Indian,289,48,103000,52158,6
AK,Juneau,30179,38,91743,41968,2006
AK,Kake,635,37,51250,18955,97
AK,Kaktovik,181,28,60417,21945,19
AK,Kalskag,255,26,38929,12116,46
AK,Kaltag,165,45,27500,19696,31
AK,Kasigluk,655,25,43500,8469,250
AK,Kasilof,2055,46,67802,30526,219
AK,Kenai,16208,38,60518,32560,1723
AK,Ketchikan,13768,40,67321,33755,1450
AK,Kiana,329,26,43125,17247,106
AK,King Cove,1003,46,66923,31439,159
AK,King Salmon,414,37,95167,37960,28
AK,Kipnuk,659,26,34318,9968,258
AK,Kivalina,678,24,48750,16907,211
AK,Klawock,901,45,48646,24783,210
AK,Kobuk,152,18,52500,13451,60
AK,Kodiak,13041,33,80067,32992,1098
AK,Kotlik,726,25,41667,10794,321
AK,Kotzebue,3355,30,88047,31846,520
AK,Koyuk,248,22,36429,11061,102
AK,Koyukuk,54,33,15417,17041,23
AK,Kwethluk,705,24,44375,12518,185
AK,Kwigillingok,349,26,46250,10590,87
AK,Larsen Bay,42,47,36250,33814,15
AK,Levelock,95,25,25000,15068,25
AK,Lower Kalskag,322,27,33036,10171,118
AK,Manley Hot Springs,80,57,57083,37945,12
AK,Manokotak,818,32,39375,22696,121
AK,Marshall,337,24,30750,11548,118
AK,McGrath,360,37,49375,27452,64
AK,Mekoryuk,217,37,31250,16965,40
AK,Metlakatla,1684,33,57969,22927,224
AK,Minto,223,28,38125,17886,67
AK,Mountain Village,820,25,35893,16892,311
AK,Naknek,509,44,68333,44638,29
AK,Napakiak,389,28,28750,10699,151
AK,Nenana,622,48,55536,26557,142
AK,New Stuyahok,566,25,43750,10515,135
AK,Nightmute,212,27,45000,8693,65
AK,Nikolai,123,33,35417,15533,25
AK,Nikolski,25,40,37500,28056,7
AK,Ninilchik,992,56,51190,30814,101
AK,Noatak,424,26,50000,15146,122
AK,Nome,4208,31,79292,29900,474
AK,Nondalton,154,30,39167,18510,40
AK,Noorvik,579,26,48750,16784,186
AK,North Pole,22804,32,81045,34618,1430
AK,Northway,316,28,50417,17162,111
AK,Nuiqsut,395,25,82813,22481,36
AK,Nulato,276,34,38333,14968,86
AK,Nunapitchuk,726,24,36964,9267,362
AK,Old Harbor,290,29,29063,21409,63
AK,Ouzinkie,186,49,32917,31302,36
AK,Palmer,29293,35,80110,31648,2450
AK,Pelican,94,56,67917,33720,6
AK,Perryville,98,24,40417,11944,37
AK,Petersburg,3275,42,63490,35044,256
AK,Pilot Station,636,23,28214,9409,304
AK,Point Baker,59,50,17981,11959,49
AK,Point Hope,668,28,60417,21644,136
AK,Point Lay,273,20,58750,15801,55
AK,Port Alsworth,157,19,86667,24030,5
AK,Port Lions,214,49,32917,26372,50
AK,Quinhagak,763,29,38393,17486,229
AK,Ruby,188,30,27500,12741,80
AK,Russian Mission,348,23,33542,8442,120
AK,Saint George Island,85,31,56250,24201,4
AK,Saint Marys,663,27,45375,14695,170
AK,Saint Michael,441,20,42813,10945,101
AK,Saint Paul Island,480,40,63571,35855,59
AK,Salcha,1201,41,69706,33883,112
AK,Sand Point,1356,39,68750,32247,242
AK,Savoonga,932,23,37708,9659,402
AK,Scammon Bay,543,18,30833,8835,287
AK,Selawik,813,24,35625,9479,379
AK,Seldovia,436,52,59688,33389,28
AK,Seward,4735,40,73348,30286,499
AK,Shageluk,63,30,12813,21978,24
